,content,score,at
8585,"Aplikasi apaan ni? Dpt rekom kalo aplikasi ini cpat prosesnya, lgsg download malah gagal, trus disuruh perbaikin score credit goblok, baru juga mau minjem, ga jelas, kalo ga ada duit buat minjemin gausa buat aplikasi pinjol. Wkwkwk",1,2020-05-31 13:39:28
8035,Saya kasih bintang 4 hampir sempurna karena proses evaluasi data yang sangat mudah... Saya sarankan untuk tenor bisa di perpanjang nanti saya tambah jadi 5 bintang,4,2020-06-05 11:42:46
7223,Ko aneh yaa pencairan blm ada tp udh ada tgl pembayaran jatuh tempo tapi uang nya sy blm nerima aneh saya cek ke rekening bank saya ga ada transfer tgl 8 juni & ga ada notifikasi pemberitahuan juga lwt sms dari bank kami mohon di klarifikasi lg dong,1,2020-06-08 08:30:14
9788,"halo adakami, pinjaman saya di setujui dan terdapat data pelunasan tgl sekian-sekiannya namun uang itu tak masuk ke dalam rekening saya sepeserpun, itu maksudnya bagaimana ya mohon penjelasan.",2,2020-06-11 19:41:53
5018,"Cukup bagus tapi tolong untk info penagihan bisa melalui notifikasi aplikasi saja atau di SMS, terlbh dahulu sebelum melakukan telepon? Sangat tidak sopan pagi2 telepon dengan nada bicara yang tidak menyenangkan",1,2020-06-15 02:18:19
8780,Sdh lunas.. eh gak bisa diajuin lg.. alias di tolak... kenapa ?bayar tepat wkt ternyata tdk cukup utk membuktikan sbg nasabah yang baik.. pdhal pengajuan pertama dulu.. langsung acc.. lalu penilaiannya dr mn ?saya beri bintang 3 saja,3,2020-06-15 07:52:31
9406,"Terimakasih ada kami, pelayanan yg sangat memuaskan.. proses juga cepet ga ada stngh jam dana sudah cair.. Saran aja sih buat ada kami tolong diperpanjang tenornya seperti waktu awal pengajuan bisa sampai 3bln .",5,2020-06-17 00:27:13
9883,"Hallo, Ada kami saya tidak jadi meminjam di Ada kami karna jatuh temponya cepat sekali gak sesuai pestasi, tolong data2 saya yg sudah terkirim mohon untuk di hps aja🙏 data2 saya jangan disebar luaskan. Terimakasih",2,2020-06-18 00:57:53
9803,"Gampang gimana, masa suruh meningkatkan scoring credit, hutang aja baru mau kali ini kwkwk aturan mah gampang ya karna ga pernah ngajuin hutang piutang, ini karna kepepet aja 3 bulan dirumahkan..payah lah, ga lagi2..",1,2020-06-18 12:23:35
4973,"proses cepat, tapi untuk ke depannya tenor agak panjang lagi sampe 30 hari dan untuk pencairan lebih di percepat tidak harus menunggu 24 jam. Kredit sudah masuk hitungan, tapi belum ada pencairan masuk ke rekeningnya. Ini jadi kaya ada kecurangan, dana belum masuk tapi tagihan sudah berjalan! dimana2 kredit berjalan setelah dana atau unit sudah masuk atau sudah ditangan..",2,2020-06-18 12:32:55
